COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_42 | TO: P3_GROUP_4 | MSG: What's the answer 2 life? | TIMESTAMP: 13.10.19 -=- 22:10:42
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_111 | MSG: What's going in the kitchen and I don't know what's cooking? | TIMESTAMP: 14.10.19 -=- 19:16:02
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_111 | MSG: What's going in the kitchen and I don't know what's cooking? | TIMESTAMP: 14.10.19 -=- 19:16:02
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_140 | MSG: The cake is a lie!! | TIMESTAMP: 14.10.19 -=- 19:03:01
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_109 | MSG: Hello from group 4!! | TIMESTAMP: 14.10.19 -=- 19:06:11
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_109 | MSG: Hello from group 4!! | TIMESTAMP: 14.10.19 -=- 19:06:56
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: Hallo Aegir! | TIMESTAMP: 14.10.19 -=- 19:13:04
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_109 | TO: P3_GROUP_4 | MSG: Hello Aegir... I see we have established an awesome connection! | TIMESTAMP: 14.10.19 -=- 19:13:20
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_42 | TO: P3_GROUP_4 | MSG: "Funny " he intoned funereally  "how just when you think life can’t possibly get any worse it suddenly does." | TIMESTAMP: 14.10.19 -=- 19:14:26
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_111 | MSG: What's going in the kitchen and I don't know what's cooking? | TIMESTAMP: 14.10.19 -=- 19:16:02
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_111 | MSG: What's going in the kitchen and I don't know what's cooking? | TIMESTAMP: 14.10.19 -=- 19:16:02
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_109 | TO: P3_GROUP_4 | MSG: Hello Aegir... this is very 1337 connections we have established | TIMESTAMP: 14.10.19 -=- 19:26:15
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: Hello from the wireshark logs! | TIMESTAMP: 14.10.19 -=- 19:44:01
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: Hello from the wireshark logs! | TIMESTAMP: 14.10.19 -=- 19:44:25
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_32 | TO: P3_GROUP_4 | MSG: Hello | TIMESTAMP: 14.10.19 -=- 19:58:27
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: What's going on in the kitchen and I don't know what's cooking! | TIMESTAMP: 14.10.19 -=- 20:06:00
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_99 | TO: P3_GROUP_4 | MSG: EXECUTE ORDER 66 - Group99 | TIMESTAMP: 14.10.19 -=- 20:08:01
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: What's going on in the kitchen and I don't know what's cooking! | TIMESTAMP: 14.10.19 -=- 20:08:25
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: What's going on in the kitchen and I don't know what's cooking! | TIMESTAMP: 14.10.19 -=- 20:08:43
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_140 | MSG: The cake is a lie!! | TIMESTAMP: 14.10.19 -=- 19:03:01
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_109 | MSG: Hello from group 4!! | TIMESTAMP: 14.10.19 -=- 19:06:11
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_109 | MSG: Hello from group 4!! | TIMESTAMP: 14.10.19 -=- 19:06:56
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: Hallo Aegir! | TIMESTAMP: 14.10.19 -=- 19:13:04
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_109 | TO: P3_GROUP_4 | MSG: Hello Aegir... I see we have established an awesome connection! | TIMESTAMP: 14.10.19 -=- 19:13:20
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_42 | TO: P3_GROUP_4 | MSG: "Funny " he intoned funereally  "how just when you think life can’t possibly get any worse it suddenly does." | TIMESTAMP: 14.10.19 -=- 19:14:26
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_111 | MSG: What's going in the kitchen and I don't know what's cooking? | TIMESTAMP: 14.10.19 -=- 19:16:02
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_111 | MSG: What's going in the kitchen and I don't know what's cooking? | TIMESTAMP: 14.10.19 -=- 19:16:02
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_109 | TO: P3_GROUP_4 | MSG: Hello Aegir... this is very 1337 connections we have established | TIMESTAMP: 14.10.19 -=- 19:26:15
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: Hello from the wireshark logs! | TIMESTAMP: 14.10.19 -=- 19:44:01
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: Hello from the wireshark logs! | TIMESTAMP: 14.10.19 -=- 19:44:25
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_32 | TO: P3_GROUP_4 | MSG: Hello | TIMESTAMP: 14.10.19 -=- 19:58:27
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: What's going on in the kitchen and I don't know what's cooking! | TIMESTAMP: 14.10.19 -=- 20:06:00
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_99 | TO: P3_GROUP_4 | MSG: EXECUTE ORDER 66 - Group99 | TIMESTAMP: 14.10.19 -=- 20:08:01
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: What's going on in the kitchen and I don't know what's cooking! | TIMESTAMP: 14.10.19 -=- 20:08:25
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: What's going on in the kitchen and I don't know what's cooking! | TIMESTAMP: 14.10.19 -=- 20:08:43
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_17 | TO: P3_GROUP_4 | MSG: Why code in C++ when your programming skills are A++? | TIMESTAMP: 14.10.19 -=- 19:42:01
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_17 | MSG: Many pages make a thick book | TIMESTAMP: 14.10.19 -=- 19:43:19
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_17 | TO: P3_GROUP_4 | MSG: Why code in C++ when your programming skills are A++? | TIMESTAMP: 14.10.19 -=- 19:43:45
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_17 | MSG: Many pages make a thick book | TIMESTAMP: 14.10.19 -=- 19:44:31
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_73 | MSG: A horse A horse My Kingdom for a horse | TIMESTAMP: 14.10.19 -=- 19:52:39
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_73 | MSG: A horse A horse My Kingdom for a horse | TIMESTAMP: 14.10.19 -=- 19:53:40
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: BLESSADUR AEGIR! | TIMESTAMP: 14.10.19 -=- 19:54:19
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: HRESS BARA? | TIMESTAMP: 14.10.19 -=- 19:55:14
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: KVEDJA FRA STOFU M115 | TIMESTAMP: 14.10.19 -=- 19:55:40
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_100 | MSG: Never be led astray onto the path of virtue | TIMESTAMP: 14.10.19 -=- 19:55:54
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_109 | MSG: Chess tonight | TIMESTAMP: 14.10.19 -=- 19:59:48
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_109 | MSG: Chess tonight | TIMESTAMP: 14.10.19 -=- 19:59:58
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Show me the money! | TIMESTAMP: 14.10.19 -=- 20:17:00
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Show me the money! | TIMESTAMP: 14.10.19 -=- 20:18:00
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_2 | TO: P3_GROUP_4 | MSG: FeelsTSAMMan.jpg verdid ad laga keepalive erud ad senda 00 i stadinn fyrir 1 | TIMESTAMP: 14.10.19 -=- 20:24:10
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_99 | TO: P3_GROUP_4 | MSG: EXECUTE ORDER 66 - Group99 | TIMESTAMP: 14.10.19 -=- 20:26:14
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_99 | TO: P3_GROUP_4 | MSG: WASSA  | TIMESTAMP: 14.10.19 -=- 20:26:37
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_2 | MSG: Takk. Laga tetta! | TIMESTAMP: 14.10.19 -=- 20:26:46
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_2 | MSG: Takk. Laga tetta! | TIMESTAMP: 14.10.19 -=- 20:26:46
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Order 66???  | TIMESTAMP: 14.10.19 -=- 20:27:40
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Order 66???  | TIMESTAMP: 14.10.19 -=- 20:28:10
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Captain Holt wants to talk to you... | TIMESTAMP: 14.10.19 -=- 20:43:00
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Captain Holt wants to talk to you... | TIMESTAMP: 14.10.19 -=- 20:44:00
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Please please take this message! | TIMESTAMP: 14.10.19 -=- 20:46:37
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Please please take this message! | TIMESTAMP: 14.10.19 -=- 20:47:38
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_140 | MSG: The cake is a lie!! | TIMESTAMP: 14.10.19 -=- 19:03:01
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_109 | MSG: Hello from group 4!! | TIMESTAMP: 14.10.19 -=- 19:06:11
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_109 | MSG: Hello from group 4!! | TIMESTAMP: 14.10.19 -=- 19:06:56
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: Hallo Aegir! | TIMESTAMP: 14.10.19 -=- 19:13:04
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_109 | TO: P3_GROUP_4 | MSG: Hello Aegir... I see we have established an awesome connection! | TIMESTAMP: 14.10.19 -=- 19:13:20
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_42 | TO: P3_GROUP_4 | MSG: "Funny " he intoned funereally  "how just when you think life can’t possibly get any worse it suddenly does." | TIMESTAMP: 14.10.19 -=- 19:14:26
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_111 | MSG: What's going in the kitchen and I don't know what's cooking? | TIMESTAMP: 14.10.19 -=- 19:16:02
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_111 | MSG: What's going in the kitchen and I don't know what's cooking? | TIMESTAMP: 14.10.19 -=- 19:16:02
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_109 | TO: P3_GROUP_4 | MSG: Hello Aegir... this is very 1337 connections we have established | TIMESTAMP: 14.10.19 -=- 19:26:15
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: Hello from the wireshark logs! | TIMESTAMP: 14.10.19 -=- 19:44:01
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_4 | MSG: Hello from the wireshark logs! | TIMESTAMP: 14.10.19 -=- 19:44:25
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_32 | TO: P3_GROUP_4 | MSG: Hello | TIMESTAMP: 14.10.19 -=- 19:58:27
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: What's going on in the kitchen and I don't know what's cooking! | TIMESTAMP: 14.10.19 -=- 20:06:00
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_99 | TO: P3_GROUP_4 | MSG: EXECUTE ORDER 66 - Group99 | TIMESTAMP: 14.10.19 -=- 20:08:01
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: What's going on in the kitchen and I don't know what's cooking! | TIMESTAMP: 14.10.19 -=- 20:08:25
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: What's going on in the kitchen and I don't know what's cooking! | TIMESTAMP: 14.10.19 -=- 20:08:43
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_17 | TO: P3_GROUP_4 | MSG: Why code in C++ when your programming skills are A++? | TIMESTAMP: 14.10.19 -=- 19:42:01
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_17 | MSG: Many pages make a thick book | TIMESTAMP: 14.10.19 -=- 19:43:19
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_17 | TO: P3_GROUP_4 | MSG: Why code in C++ when your programming skills are A++? | TIMESTAMP: 14.10.19 -=- 19:43:45
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_17 | MSG: Many pages make a thick book | TIMESTAMP: 14.10.19 -=- 19:44:31
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_73 | MSG: A horse A horse My Kingdom for a horse | TIMESTAMP: 14.10.19 -=- 19:52:39
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_73 | MSG: A horse A horse My Kingdom for a horse | TIMESTAMP: 14.10.19 -=- 19:53:40
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: BLESSADUR AEGIR! | TIMESTAMP: 14.10.19 -=- 19:54:19
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: HRESS BARA? | TIMESTAMP: 14.10.19 -=- 19:55:14
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: KVEDJA FRA STOFU M115 | TIMESTAMP: 14.10.19 -=- 19:55:40
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_100 | MSG: Never be led astray onto the path of virtue | TIMESTAMP: 14.10.19 -=- 19:55:54
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_109 | MSG: Chess tonight | TIMESTAMP: 14.10.19 -=- 19:59:48
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_109 | MSG: Chess tonight | TIMESTAMP: 14.10.19 -=- 19:59:58
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Show me the money! | TIMESTAMP: 14.10.19 -=- 20:17:00
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Show me the money! | TIMESTAMP: 14.10.19 -=- 20:18:00
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_2 | TO: P3_GROUP_4 | MSG: FeelsTSAMMan.jpg verdid ad laga keepalive erud ad senda 00 i stadinn fyrir 1 | TIMESTAMP: 14.10.19 -=- 20:24:10
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_99 | TO: P3_GROUP_4 | MSG: EXECUTE ORDER 66 - Group99 | TIMESTAMP: 14.10.19 -=- 20:26:14
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_99 | TO: P3_GROUP_4 | MSG: WASSA  | TIMESTAMP: 14.10.19 -=- 20:26:37
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_2 | MSG: Takk. Laga tetta! | TIMESTAMP: 14.10.19 -=- 20:26:46
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_2 | MSG: Takk. Laga tetta! | TIMESTAMP: 14.10.19 -=- 20:26:46
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Order 66???  | TIMESTAMP: 14.10.19 -=- 20:27:40
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Order 66???  | TIMESTAMP: 14.10.19 -=- 20:28:10
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Captain Holt wants to talk to you... | TIMESTAMP: 14.10.19 -=- 20:43:00
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Captain Holt wants to talk to you... | TIMESTAMP: 14.10.19 -=- 20:44:00
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Please please take this message! | TIMESTAMP: 14.10.19 -=- 20:46:37
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Please please take this message! | TIMESTAMP: 14.10.19 -=- 20:47:38
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_99 | TO: P3_GROUP_4 | MSG: BLASADIR STRAKAR  | TIMESTAMP: 14.10.19 -=- 20:54:03
COMMAND: GET | isBot: TRUE | FROM: P3_GROUP_99 | TO: P3_GROUP_4 | MSG: BLASADIR STRAKAR  | TIMESTAMP: 14.10.19 -=- 20:55:22
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Vid segjum bara allt gott. Buinn ad sja Wu-Tang taettina? | TIMESTAMP: 14.10.19 -=- 20:55:59
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Vid segjum bara allt gott. Buinn ad sja Wu-Tang taettina? | TIMESTAMP: 14.10.19 -=- 20:57:05
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_99 | TO: P3_GROUP_4 | MSG: YO HAVE U SEEN FUTURAMA THO  | TIMESTAMP: 14.10.19 -=- 21:10:27
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Luftballons?? | TIMESTAMP: 14.10.19 -=- 21:10:56
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Luftballons?? | TIMESTAMP: 14.10.19 -=- 21:11:26
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_50 | MSG: Hallo fra sidmenningunni. | TIMESTAMP: 14.10.19 -=- 21:21:55
