COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_140 | MSG: The cake is a lie!! | TIMESTAMP: 14.10.19 -=- 19:03:01
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_73 | MSG: A horse A horse My Kingdom for a horse | TIMESTAMP: 14.10.19 -=- 19:53:40
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: BLESSADUR AEGIR! | TIMESTAMP: 14.10.19 -=- 19:54:19
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: BLESSADUR AEGIR! | TIMESTAMP: 14.10.19 -=- 19:54:19
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: HRESS BARA? | TIMESTAMP: 14.10.19 -=- 19:55:14
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: HRESS BARA? | TIMESTAMP: 14.10.19 -=- 19:55:14
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: KVEDJA FRA STOFU M115 | TIMESTAMP: 14.10.19 -=- 19:55:40
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_73 | TO: P3_GROUP_4 | MSG: KVEDJA FRA STOFU M115 | TIMESTAMP: 14.10.19 -=- 19:55:40
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_100 | MSG: Never be led astray onto the path of virtue | TIMESTAMP: 14.10.19 -=- 19:55:54
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_109 | MSG: Chess tonight | TIMESTAMP: 14.10.19 -=- 19:59:48
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_109 | MSG: Chess tonight | TIMESTAMP: 14.10.19 -=- 19:59:58
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Show me the money! | TIMESTAMP: 14.10.19 -=- 20:17:00
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Show me the money! | TIMESTAMP: 14.10.19 -=- 20:18:00
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_2 | TO: P3_GROUP_4 | MSG: FeelsTSAMMan.jpg verdid ad laga keepalive erud ad senda 00 i stadinn fyrir 1
 | TIMESTAMP: 14.10.19 -=- 20:24:10
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_2 | TO: P3_GROUP_4 | MSG: FeelsTSAMMan.jpg verdid ad laga keepalive erud ad senda 00 i stadinn fyrir 1
 | TIMESTAMP: 14.10.19 -=- 20:24:10
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_99 | TO: P3_GROUP_4 | MSG: EXECUTE ORDER 66 - Group99 | TIMESTAMP: 14.10.19 -=- 20:26:14
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_99 | TO: P3_GROUP_4 | MSG: EXECUTE ORDER 66 - Group99 | TIMESTAMP: 14.10.19 -=- 20:26:14
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_99 | TO: P3_GROUP_4 | MSG: EXECUTE ORDER 66 - Group99 | TIMESTAMP: 14.10.19 -=- 20:26:14
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_99 | TO: P3_GROUP_4 | MSG: EXECUTE ORDER 66 - Group99 | TIMESTAMP: 14.10.19 -=- 20:26:14
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_99 | TO: P3_GROUP_4 | MSG: WASSA  | TIMESTAMP: 14.10.19 -=- 20:26:37
COMMAND: SEND | isBot: FALSE | FROM: P3_GROUP_99 | TO: P3_GROUP_4 | MSG: WASSA  | TIMESTAMP: 14.10.19 -=- 20:26:37
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_2 | MSG: Takk. Laga tetta! | TIMESTAMP: 14.10.19 -=- 20:26:46
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_2 | MSG: Takk. Laga tetta! | TIMESTAMP: 14.10.19 -=- 20:26:46
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Order 66???  | TIMESTAMP: 14.10.19 -=- 20:27:40
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Order 66???  | TIMESTAMP: 14.10.19 -=- 20:28:10
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Captain Holt wants to talk to you... | TIMESTAMP: 14.10.19 -=- 20:43:00
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Captain Holt wants to talk to you... | TIMESTAMP: 14.10.19 -=- 20:44:00
COMMAND: SEND | isBot: TRUE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Please please take this message! | TIMESTAMP: 14.10.19 -=- 20:46:37
COMMAND: GET | isBot: FALSE | FROM: P3_GROUP_4 | TO: P3_GROUP_99 | MSG: Please please take this message! | TIMESTAMP: 14.10.19 -=- 20:47:38
>>>>>>> eccbaa50369e34246de2915a950607cdd6ad1f48
